time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,mflow_GHX_bypass,qghx_kW
171,0,0.708795213,410.2531724,537.1385427,0.629176262,-9.535134118
172,0,0.705207071,410.2462983,537.132078,0.627839851,-9.400860196
173,0,0.705735705,410.2587589,537.1392316,0.626503116,-9.264295074
174,0,0.705475528,410.257698,537.1423022,0.625166064,-9.125444765
175,0,0.705155697,410.2660212,537.1400756,0.623828699,-8.984315282
176,0,0.707948826,410.2671844,537.1339527,0.622491027,-8.840912639
177,0,0.708568869,410.272967,537.1465616,0.621153054,-8.695242849
178,0,0.711620915,410.2786733,537.1537505,0.619814786,-8.547311926
179,0,0.713639158,410.2938855,537.1538317,0.618476229,-8.397125883
180,0,0.714629363,410.3030766,537.161681,0.617137387,-8.244690733
181,0,0.715319506,410.2976839,537.1639739,0.615798266,-8.09001249
182,0,0.718954019,410.3024182,537.1625485,0.614458873,-7.933097167
183,0,0.720645,410.3072926,537.1630526,0.613119213,-7.773950779
184,0,0.720936369,410.324106,537.1621963,0.611779292,-7.612579337
185,0,0.722666811,410.3289637,537.1778618,0.610439115,-7.448988856
186,0,0.723443527,410.3306686,537.1773682,0.609098688,-7.283185348
187,0,0.723437459,410.3405936,537.1801357,0.607758016,-7.115174829
188,0,0.723396931,410.3432156,537.1834531,0.606417106,-6.94496331
189,0,0.723181121,410.3433795,537.1934333,0.605075963,-6.772556805
190,0,0.723185932,410.3542048,537.2042958,0.603734592,-6.597961328
191,0,0.723387084,410.3609818,537.2015781,0.602393,-6.421182892
192,0,0.724312789,410.3547385,537.2056892,0.601051192,-6.24222751
193,0,0.723769964,410.3747502,537.2074136,0.599709173,-6.061101197
194,0,0.719414101,410.3777508,537.1981472,0.598366949,-5.877809964
195,0,0.716453835,410.3794305,537.2058491,0.597024527,-5.692359827
196,0,0.715774253,410.3892427,537.2151725,0.595681911,-5.504756798
197,0,0.715431812,410.3897847,537.2213186,0.594339108,-5.31500689
198,0,0.715421598,410.4009435,537.2296012,0.592996122,-5.123116117
199,0,0.715322267,410.4087766,537.2321469,0.591652961,-4.929090493
200,0,0.714767689,410.4066159,537.2260614,0.590309628,-4.73293603
201,0,0.71465628,410.4088701,537.2303324,0.588966131,-4.534658743
202,0,0.713367426,410.4108264,537.2322183,0.587622474,-4.334264645
203,0,0.712861651,410.4213006,537.2458921,0.586278663,-4.131759749
204,0,0.7126649,410.4476928,537.2437555,0.584934705,-3.927150068
205,0,0.713330729,410.4475154,537.2626128,0.583590604,-3.720441616
206,0,0.713419188,410.4552011,537.2639776,0.582246366,-3.511640407
207,0,0.71473969,410.4551358,537.2565183,0.580901998,-3.300752453
208,0,0.711644069,410.4580292,537.2619313,0.579557504,-3.087783769
209,0,0.711606859,410.4654636,537.2585784,0.57821289,-2.872740367
210,0,0.710856008,410.4759133,537.267504,0.576868163,-2.655628261
211,0,0.710056915,410.4774878,537.269083,0.575523327,-2.436453465
212,0,0.710070212,410.4673216,537.2697977,0.574178389,-2.215221992
213,0,0.710261079,410.4903479,537.2752521,0.572833353,-1.991939855
214,0,0.708691564,410.4947464,537.2801336,0.571488226,-1.766613067
215,0,0.710190301,410.5044891,537.2895135,0.570143014,-1.539247643
216,0,0.71061512,410.5041272,537.285837,0.568797721,-1.309849596
217,0,0.709655617,410.5069061,537.2877439,0.567452355,-1.078424938
218,0,0.709637418,410.5285565,537.290479,0.566106919,-0.844979684
219,0,0.707731085,410.5121498,537.295708,0.564761421,-0.60951753
220,0,0.707715646,410.5369245,537.3118135,0.563415865,-0.372039891
221,0,0.707402597,410.5365375,537.3134777,0.562070257,-0.132559752
222,0,0.706048408,410.5396736,537.298041,0.560724604,0.108916874
223,0,0.704863306,410.5604454,537.3139502,0.55937891,0.352383974
224,0,0.704857134,410.5577152,537.3114289,0.558033182,0.597835535
225,0,0.704854715,410.5629634,537.3119613,0.556687424,0.845265542
226,0,0.702536676,410.5654434,537.3232216,0.555341644,1.094667983
227,0,0.703063242,410.5535175,537.3084154,0.553995846,1.346036844
228,0,0.703075677,410.574359,537.307889,0.552650036,1.599366112
229,0,0.706160429,410.5909678,537.3177656,0.55130422,1.854649773
230,0,0.707089467,410.5868652,537.3270481,0.549958403,2.111881813
231,0,0.707126358,410.5964422,537.328165,0.548612591,2.37105622
232,0,0.705624995,410.6033004,537.3408928,0.54726679,2.63216698
233,0,0.705805978,410.6031058,537.3401367,0.545921006,2.895208079
234,0,0.705825334,410.603064,537.3397247,0.544575243,3.160173505
235,0,0.708768775,410.6172163,537.3396224,0.543229509,3.427057243
236,0,0.709045733,410.622382,537.3391646,0.541883808,3.695853281
237,0,0.70904649,410.6278286,537.3421754,0.540538145,3.966555604
238,0,0.707989348,410.628293,537.342453,0.539192528,4.2391582
239,0,0.704923873,410.6434135,537.3601043,0.537846961,4.513655054
240,0,0.704057044,410.6574452,537.3520449,0.53650145,4.790040155
241,0,0.7039954,410.660493,537.3564186,0.535156001,5.068307487
242,0,0.706453833,410.6682701,537.3789765,0.53381062,5.348451039
243,0,0.704710953,410.6742232,537.3765695,0.532465311,5.630464795
244,0,0.704460053,410.6694907,537.3693964,0.531120082,5.914342744
245,0,0.703154487,410.6789356,537.3784649,0.529774937,6.200078871
246,0,0.703892333,410.6818212,537.3817361,0.528429882,6.487667163
247,0,0.704177959,410.6833535,537.386399,0.527084922,6.777101606
248,0,0.703761982,410.6962028,537.3815768,0.525740064,7.068376188
249,0,0.707198467,410.7113195,537.3938387,0.524395314,7.361484895
250,0,0.70776082,410.713432,537.395942,0.523050676,7.656421713
251,0,0.705007479,410.7175661,537.3960707,0.521706156,7.953180629
252,0,0.704522308,410.7352987,537.401443,0.520361761,8.25175563
253,0,0.702082629,410.7338847,537.4066563,0.519017495,8.552140702
254,0,0.702801517,410.7474055,537.4085768,0.517673365,8.854329831
255,0,0.703026556,410.750162,537.408794,0.516329376,9.158317005
256,0,0.703396071,410.7516314,537.4135831,0.514985534,9.46409621
257,0,0.706173376,410.7630122,537.4199336,0.513641845,9.771661432
258,0,0.706746204,410.7646921,537.4239176,0.512298313,10.08100666
259,0,0.704849294,410.7690642,537.4193527,0.510954945,10.39212587
260,0,0.704784646,410.7713837,537.4140723,0.509611747,10.70501307
261,0,0.704863354,410.7823422,537.4104334,0.508268724,11.01966223
262,0,0.705931409,410.7866893,537.4274838,0.506925882,11.33606733
263,0,0.706187894,410.8003645,537.4376099,0.505583226,11.65422238
264,0,0.702881226,410.8033234,537.4310985,0.504240762,11.97412135
265,0,0.697998785,410.8001454,537.4208313,0.502898496,12.29575823
266,0,0.696907705,410.8242357,537.4348428,0.501556434,12.619127
267,0,0.697615923,410.8361671,537.4442605,0.500214581,12.94422166
268,0,0.698491631,410.8287266,537.4306429,0.498872943,13.27103619
269,0,0.698760413,410.8456208,537.4393099,0.497531525,13.59956457
270,0,0.699050739,410.8548798,537.450847,0.496190333,13.9298008
271,0,0.69913602,410.8500699,537.4448451,0.494849373,14.26173886
272,0,0.698790391,410.8530363,537.4565663,0.493508651,14.59537273
273,0,0.701223485,410.8654141,537.4575531,0.492168172,14.93069641
274,0,0.699988231,410.8648333,537.4487168,0.490827941,15.26770387
275,0,0.699286279,410.8652441,537.4453297,0.489487965,15.60638911
276,0,0.696528577,410.8685151,537.447906,0.48814825,15.94674612
277,0,0.69500825,410.8800659,537.447408,0.4868088,16.28876887
278,0,0.694802121,410.9012636,537.4610528,0.485469621,16.63245136
279,0,0.695427519,410.90017,537.4592727,0.48413072,16.97778757
280,0,0.695672034,410.8945568,537.4579298,0.482792102,17.32477149
281,0,0.695666814,410.9074868,537.4583849,0.481453772,17.6733971
282,0,0.693974698,410.9148954,537.4559506,0.480115736,18.0236584
283,0,0.693497438,410.9141191,537.4625615,0.478778001,18.37554937
284,0,0.69358116,410.9202278,537.4621673,0.47744057,18.72906399
285,0,0.696685543,410.9366283,537.4702814,0.476103451,19.08419625
286,0,0.698037721,410.9370104,537.4672295,0.474766649,19.44094014
287,0,0.695770798,410.9327654,537.4623183,0.473430169,19.79928964
288,0,0.694067715,410.9437895,537.4625906,0.472094018,20.15923875
289,0,0.693683413,410.9549713,537.4603348,0.4707582,20.52078144
290,0,0.694703042,410.9623145,537.4711128,0.469422722,20.88391171
291,0,0.69506223,410.9702733,537.4721304,0.468087589,21.24862354
292,0,0.694987329,410.9750685,537.4704012,0.466752807,21.61491092
293,0,0.695877132,410.9870242,537.4771395,0.465418381,21.98276783
