iter,selected_count,added_indices,avg_rmse_m,avg_mae_m,avg_rmse_q,avg_mae_q,mean_rmse_m,mean_mae_m,mean_rmse_q,mean_mae_q,CI_m,CI_q,elapsed_s,exp_included_iter
21,210,"[215, 142, 62, 175, 310, 118, 366, 344, 158, 260]",0.318010304,0.282381342,103.0764209,90.67857412,0.31839417,0.282381342,103.0764209,90.67857412,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3045.362723,2
22,220,"[123, 141, 160, 279, 357, 267, 343, 367, 323, 240]",0.313978864,0.280331362,99.84132044,88.29495606,0.315486369,0.280331362,99.84132044,88.29495606,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3148.325772,2
23,230,"[41, 155, 345, 339, 257, 146, 364, 145, 174, 105]",0.315083783,0.2799633,101.6337067,89.23178195,0.312522972,0.2799633,101.6337067,89.23178195,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3247.939889,2
24,240,"[272, 300, 249, 252, 275, 219, 308, 163, 251, 250]",0.309994205,0.279494038,98.80640144,86.87851042,0.311042997,0.279494038,98.80640144,86.87851042,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3338.73866,2
25,250,"[97, 98, 45, 135, 78, 237, 35, 256, 258, 131]",0.305402847,0.279121231,97.36219848,85.03428673,0.31116451,0.279121231,97.36219848,85.03428673,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3425.246127,2
26,260,"[273, 77, 287, 253, 176, 70, 73, 363, 254, 51]",0.305495981,0.279164781,98.09390231,85.2247225,0.306500714,0.279164781,98.09390231,85.2247225,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3507.82694,2
27,270,"[154, 247, 53, 199, 246, 248, 188, 107, 108, 164]",0.308892804,0.280757923,98.99364133,86.20523572,0.303977529,0.280757923,98.99364133,86.20523572,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3579.395274,2
28,280,"[55, 255, 337, 346, 320, 89, 93, 49, 299, 92]",0.304606235,0.279878923,97.6754537,84.70098995,0.305959003,0.279878923,97.6754537,84.70098995,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3648.480799,2
29,290,"[306, 185, 293, 198, 304, 1, 139, 223, 129, 58]",0.303176001,0.279143347,96.91204883,83.81145108,0.303502489,0.279143347,96.91204883,83.81145108,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3709.180331,2
30,300,"[217, 290, 144, 138, 325, 15, 222, 336, 226, 94]",0.300548143,0.277813806,95.08679925,82.49827246,0.301694147,0.277813806,95.08679925,82.49827246,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3767.496693,2
31,310,"[46, 10, 111, 12, 220, 6, 269, 25, 302, 294]",0.298698081,0.27701327,93.72452321,81.44285765,0.300308915,0.27701327,93.72452321,81.44285765,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3823.443321,2
32,320,"[324, 305, 147, 321, 29, 38, 9, 333, 27, 289]",0.295514273,0.275255055,91.87537419,80.01113844,0.298449341,0.275255055,91.87537419,80.01113844,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3875.242892,2
33,330,"[181, 71, 297, 143, 296, 140, 307, 2, 5, 338]",0.294704017,0.274048331,91.04828375,79.71207046,0.297977288,0.274048331,91.04828375,79.71207046,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3921.91302,2
34,340,"[286, 54, 76, 182, 295, 274, 56, 65, 7, 239]",0.292662154,0.273014216,90.18187633,78.84320767,0.297123405,0.273014216,90.18187633,78.84320767,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3962.874528,2
35,350,"[74, 75, 0, 242, 166, 205, 208, 225, 186, 204]",0.295214782,0.274153675,90.79054737,79.5433528,0.297501577,0.274153675,90.79054737,79.5433528,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",3998.597482,2
36,360,"[292, 13, 95, 245, 187, 103, 106, 301, 150, 184]",0.295436466,0.273885652,90.95240442,79.5371878,0.296032605,0.273885652,90.95240442,79.5371878,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",4029.02802,2
37,370,"[270, 172, 30, 90, 326, 23, 87, 91, 86, 322]",0.294373854,0.273212182,90.03687477,78.89720416,0.294633306,0.273212182,90.03687477,78.89720416,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",4054.139706,2
38,375,"[4, 43, 243, 136, 362]",0.29549975,0.273399287,90.0958825,79.17188816,0.29549975,0.273399287,90.0958825,79.17188816,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",4073.908761,2
